text,image,label,event_label
！帮忙转发！ 求扩散！虽然知道渺茫，但希望有帮助！同时更多在于警戒 2013年7月15日沈阳，朋友同事的女儿在大润发超市附近被人拐走了，小女孩三岁多，能准确说出她爸爸的手机号码，这是我们同事女儿的照片，从监控上看是被一个四十多岁男人抱走了，现大人都急疯了，有知情者请告之，万分感谢！(转发),48f175b8jw1e6nvv5mv20j20co0hsta8.jpg,fake,6
妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！&nbsp;&nbsp;&nbsp;没有孩子的也请友情转转！！！ 2济宁·市委宿舍,005BLhZOjw1erxsysoxffj30hp0bpt9s.jpg,fake,1
河南一家肯德基出售长了蛆的炸鸡腿，引起顾客不满，随后引发矛盾，最后河南市民，愤怒的将该店砸毁。德基相关负责人称损失超过100万，总部将对闹事人员进行起诉赔偿。此事件曝光后，我们强烈谴责黑心肉鸡作坊。同时警示中国人远离洋垃圾，并不是所有的外国品牌都是好东西。,5355c1c6jw1euh5v8lx8jj20cn0f73zj.jpg,fake,8
四川大熊猫见到救援人员紧紧抱着[流泪],63d1db5ajw1e3x4c9949bj20hs0iwq5p.jpg,fake,8
【悬挂大陆国旗，台湾渔船遭炮轰】菲律宾军队中校帕奎奥发表强硬讲话，暗示菲海军正是看到台湾渔船悬挂大陆国旗，误以为是大陆渔船才开枪射击。他告诫周边渔船，务必悬挂自己隶属区域旗帜才是最安全举措。而幸存台湾渔民则称：一直收听大陆广播，以为大陆国际地位强悍，悬挂大陆国旗才更加安全。,46110911jw1e4nnqn6wbuj20c80e8ab1.jpg,fake,2
奇迹果然出现：南通讯社3月8日19时32分快讯马来西亚航空公司飞往北京的MH370航班在失联17个小时后，在北纬065515东经1033443海域被正在执行搜救任务的菲律宾海事船发现。 　　飞机被发现时机身破损较严重，但未解体。机舱大部位于水面以下，仅机尾部露出水面，但少部分乘客和机组人员聚集在机尾部机舱,653e5ee4jw1ee8oa6imzuj20f00qoaaw.jpg,fake,2
@Bbox小贤:这次天津爆炸事件，截止当天下午，普通群众死亡482人，重症监护室52人没有脱离生命危险，消防大队死亡11人，中队死亡400多，两次爆炸全部阵亡，总计死亡人数1300多人，爆炸面积约方圆一公里，最近的一个居民小区全部被灭，无一生还！而官方说只死亡12名消防官兵！,736f0c7ejw1ev0vm7wn11j20hs0a03zp.jpg,fake,2
记住啊，轮奸要第一个上！&nbsp;&nbsp;&nbsp;李双江之子李天一涉嫌强奸罪被批捕。李的76人律师团领队、法律大学副校长张爱国教授对媒体表示，李天一因是第一个与被害女子发生关系，所以不构成轮奸罪，只是以判罚较轻的强奸罪批捕，这是律师团所有成员共同努力的结果。,56737f8fjw1e2mrrtrl8ij.jpg,fake,0
今年3.15又有17种“问题食品”曝光：1兰州拉面，2砂锅粥‘加料’致癌，3来伊份，4立顿茶，5太子了奶粉，6星巴克冰乐，7东北饺子参老鼠肉，8蛋黄派和榴莲酥，9蒙牛，10统一奶茶，11蛇果上蜡，12可乐，13费列巧克力有‘活蛀虫’，14烧烤，15人造鸡蛋，16绝育黄瓜，17果粒橙！这是在服毒吗？,adca4b47tw1e2pbgtl9yjj.jpg,fake,9
紧急通知：家里有孩子的 大人都看好了，江西进贤县，进贤昨天烟草公司旁抢了两个小孩，温圳镇来了200多外地人 专偷小孩抢小孩的 山里何村已丢1个，说凡是街上转悠，跟到家门口楼下就走了，面包车，收粮食的车，收旧家电的，人带黑口罩，穿黑裤子，有问路的千万别停下，不要理会，收到的都传下这是事实,0067nydPjw1eu3ggi4e36j30dc0nqjry.jpg,fake,6
紧急通知！！！各位妈咪注意 妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！ O网页链接,005DbgtFjw1ervslpepu7j30b40b40t3.jpg,fake,1
妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：旺仔牛奶。、可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、雅培、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回[不开心]望家长朋友们注意了 O网页链接,00639SK7jw1equuvv70fnj30dc0nqwf0.jpg,fake,1
家里有孩子的 大人都看好了，周集范桥来了100多外地人 专偷小孩抢小孩的 倪庙已丢俩个，，人带黑口罩，穿黑裤子，有问路的千万别停下，&nbsp;&nbsp;最近我们这边被这些传言闹的人心惶惶，小朋友们都不敢出门了，还有的说直接上家里去抢的，太吓人了，求证，，这到底是真的吗？？@平安商丘 @央视新闻,005QhSMXjw1etecd8m3r3j30f00qoq5x.jpg,fake,8
#天津塘沽大爆炸#这是我们一个老师和她朋友的微信聊天记录&nbsp;&nbsp;我没必要骗人真的&nbsp;&nbsp;感觉可怕&nbsp;&nbsp;现实版匹诺曹&nbsp;&nbsp;别人这样说我还不信&nbsp;&nbsp;结果真是这样。,0066himHjw1ev2f40ygirj30f00qotak.jpg,fake,5
#塘沽爆炸真相#简直醉人[呵呵]干什么去的[呵呵],9b2b4fa5jw1ev1e2gvxkhj20fd07jaai.jpg,fake,5
马航最新消息 这个号码 13458773821是MH370上一位乘客的号码，能打通但没人接大家给充点话费，别停机了，让爱传递，让祈祷蔓延，这个气候亿万万华人都在等候，别让这唯一的信号断掉。是移动的。我就知道这么多 别问 我是谁 我是雷锋，我已经冲了50。快点充你就会知道飞机的下落！,a269cfe3jw1eejoqh6x4gj20f00qogo5.jpg,fake,2
#寻人启事#13759695559 帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码 从监控上看是被一个四十多岁男人抱走了现大人都急疯了 有知情者请告之 万分感谢 看到信息的兄弟姐妹留意一下 联系人 张静杰13759695559,69d3aa3djw1eot747qr4vj20f10qot9j.jpg,fake,6
【这个可以有！】请大家5月13号一定别进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，爱国的就转发吧!,7aef87bbjw1e3yaigyuknj20hj0oo42l.jpg,fake,9
#优点听说#轰动全国的安徽籍民工秦某在上海市长宁区散落17600元遭哄抢，今查实，警方在秦某取款银行处查实，秦某仅取款7600元，而非秦某谎称的17600元，而截至今日秦某的7600元已全返还，所以剩下的一万元永不可能出现了。秦某的演技，使得上海声誉受损，另市民仅去电视台为其捐款就达三万余元。转,88ad5c7djw1e1l6asft1xj.jpg,fake,9
北京时间3月12日消息，在83版《西游记》中扮演孙悟空的演员六小龄童（章金莱），3月12日早上八点半病逝于浙江绍兴慈济医院，享年53岁。祝愿真正的美猴王，猴哥·一路走好！&nbsp;&nbsp;[流泪][流泪][流泪][流泪][流泪][流泪][流泪]。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;一生很短，要好好珍惜眼前人！[快哭了]〜〜,7e209eb2jw1e2njolzavpj.jpg,fake,9
雅安总人口153万， 三星苹果富士康三家共捐款加起来是1亿6000万， 平均分给每个人是105万左右。 现在还在缺物资，缺钱， 各地方各组织各学校还在圈钱。 钱去哪了我们不知道，真的不知道该说啥 。 再加上加多宝集团的一个亿。 还有香港一个亿。我只想问。钱呢。 给老百姓们的钱呢?？,8e7332d3jw1e4e9wpxqlej20q40iiwhq.jpg,fake,9
爱心传递，让我们一起见证微博的力量 请帮忙转一下：一个重庆打工者，22岁，叫骆婕，不知道在什么地方，请他速回重庆万州，直接到三峡中心医院。家中失火，父母双亡，弟弟伤势很严重，想见她最后一面。舅舅：18716501803——爱心接力。这个不转对不起自己的良心 （重庆市万州区柱山镇党委罗于平托 ),6d8450b9jw1e0lc9tl1m5j.jpg,fake,9
让仇和名扬天下的就是这张掀起全国暴力拆迁的著名照片： 一队浩浩荡荡人马在滚滚尘土中奔赴暴力拆迁现场，中间穿皮夹克敞着怀大步流星的宿迁市委(县级市)书记仇和，一边是提着警棍夹着判决书的，另一边是扛着摄像机的，后面是庞大的推土机和各种拆迁机器。准备在对拆迁户施行专政后再实行舆论讨伐。,3e03f049jw1eq90d1dr86j20ml0e3dhb.jpg,fake,6
帮转：转发&nbsp;&nbsp;寻人启事 13836689002。有线索酬金100万 帮忙扩散，今天上午一个2多岁小男孩在广州阳光小区附近被人拐走了，小男孩能说出他的名字……王鹤从监控上看是被一个四十多岁男人抱走了现大人都急疯了 '@陈士渠,5a8cab04jw1etilafpyxzj20f00qo75r.jpg,fake,6
急找孩子，求帮忙&nbsp;&nbsp;&nbsp;寻人启事 13940292999。有线索酬金10万 帮忙扩散，今天上午一个三岁多小女孩在乾县锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码 从监控上看是被一个四十多岁男人抱走了现大人都急疯了 有知情者请告之 万分感谢 看到信息的兄弟姐妹留意一下 联系人宁继春13940292999,0062XubVjw1er8e43bvh3j30dm0o775x.jpg,fake,6
【苍井空因钓鱼岛问题退出微博 称永远支持日本】 - 据日媒报道，苍井空因中日钓鱼岛问题气愤宣布退出中文微博!小编想说的是，你真的可以回去了，中国人民也是有底线的。 --从长江网分享&nbsp;&nbsp;O网页链接&nbsp;&nbsp;（分享自 @长江网官方微博）,4a71134djw1dwmjjh2d1uj.jpg,fake,2
110已证实不是假的！大家注意！紧急通知：家里有孩子的 大人都看好了，江苏来了1000多外地人 专偷小孩抢小孩的 苏州已丢20多个，已解剖7个拿走器官！学校也给家长开会呢，说凡是街上转悠，跟到家门口楼下就走了，面包车，收粮食的车，收旧家电的，人带黑口罩，穿黑裤子，有问路的千万别停下，不要理会,0065zAhijw1etjlhd49k3j30hs0hsmy9.jpg,fake,6
请5月13号别进影院一起让《贞子》票房为零！《金陵十三钗》在日本票房为零。日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，谁的群多，转一下，日本人说中国人是垃圾，不团结，今天腾讯和日本人打赌，如果在两周内转发超过两百万个群的话，日本人就是垃圾。爱国转发。,6fa1120djw1es2itg5ftnj20hs0hs75h.jpg,fake,9
现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！&nbsp;&nbsp;&nbsp;没有孩子的也请友情转转！！ ..&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;..,0065BnA0jw1euztxop90jj30ba0dw758.jpg,fake,1
恐怖！妇幼保健院提示您：请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友。刚看了新闻：旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、多美滋、雅培、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回，为了下一代健康，这个一定要转！癌症已经不是老年病啦！,af40bebcjw1eog5kvrnwpj20m80d7abh.jpg,fake,1
帮转：妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！&nbsp;&nbsp;&nbsp;没有孩子的也请友情转转！！,b4d48669jw1ertpwkbgtmj205006hwei.jpg,fake,1
"妇幼保健院提示:请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料,告诉家里有小孩的朋友,旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下!!! 没有孩子的也请帮忙转转 O网页链接",ad761a50jw1erx8kiptv0j207s07swfl.jpg,fake,1
【太残忍！骆驼被砍四肢当街行乞】网友17日爆料，广东佛山街头出现了牵着骆驼乞讨的乞丐。图片上的骆驼四肢从膝盖处被截肢，只能趴在地上。据媒体报道，今年以来我国广州、深圳、温州、绍兴、厦门、福州、九江、合肥等地均出现了牵骆驼乞讨的状况。By观察者网O网曝多地出现骆驼乞讨 骆驼四肢被砍（图集）,652f5916gw1elgi3vev9fj20fa0bhdgs.jpg,fake,6
急找孩子，求转，求帮忙&nbsp;&nbsp;有线索酬金10万今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码 从监控上看是被一个四十多岁男人、联系人宁继春13940292999@宁波同城会 @当时我就震惊了 @头条新闻 2宁波·东钱湖,8e5b4d83jw1erbcu5czqjj20hs0vk0wl.jpg,fake,6
【脑残粉为见柯震东一面...女学生吸毒了】日前，北京警方抓获多名涉毒嫌疑人，其中包括演员房祖名和柯震东，两人对吸食毒品大麻的违法行为供认不讳。据重庆卫视新闻节目报道，某女大学生为见柯震东，自首吸毒被抓。O网页链接姑娘，粉丝也应有底线啊~[挖鼻屎],7941ad24tw1ejix16yaz1j20b50afmy4.jpg,fake,6
房祖名供出娱乐圈120人吸毒名单：近日艺人柯震东、房祖名吸毒遭到收押。港媒指出，房祖名供出演艺圈吸毒内幕，大陆警方除握有一份120位吸毒明星的名单外，更锁定2位C姓、1位H姓的高知名度男星。而台北检方追查柯震东交友圈，传出已盯上32名演艺圈人士。P.S. 坐等曝光监狱风云超豪华阵容,71f06618gw1ejk85sd0pqj20ak0abab2.jpg,fake,9
刚学了个知识，和大家分享一下：如何判断你的牙膏是否健康。在每个牙膏袋的尾部都有个色块，绿色表示牙膏成份纯天然，蓝色表示天然且含药物，红色表示含化学成份，黑色表示纯化学成份合成。建议大家使用绿色和蓝色的，快看看你家的牙膏健康吗?,4aa973e8jw1e4v1kwub05j20da0hsjsq.jpg,fake,3
"#马航飞机失联#东南亚方面公开消息,是机组人员劫持飞机,低空返回后与政府谈条件未果,己证实坠毁…… #马航飞机失联",842a4890jw1eef7prwr11j20f40qojtv.jpg,fake,0
"【震惊猛料】:想都不敢想,在美国一桶5升金龙鱼食用油只要8元人民币！一桶金龙鱼食用油在中国超市70多元,在纽约沃尔玛感恩节时是1.6美元，圣诞节降至1.3美元。(折合人民币8.58元，而且油是绿色纯天然的，不是转基因的)，为什么中国一桶金龙鱼食用油要卖几十上百元？! 是因为我们的收入比他们高吗？！ 转",a340371cjw1e7jm6r9nvjj20790553yv.jpg,fake,9
"選牙膏有學問！檢查一下你家裡的牙膏！買牙膏時注意牙膏管反面底部的顏色條,原來顏色條有含意啊！盡量選擇綠色，共分4種:綠、藍、红、黑. 綠色 : 純天然 藍色 : 天然+葯物 红色 : 天然+化學成分； 黑色 : 纯化學。 在香港和國内的牙膏包括兒童牙膏居然大多都是有药物或化學成份的, 大家選購時可睇清楚!",b4b2751ejw1e4z61n7crhj20hs0dc0tp.jpg,fake,3
感动又被萌翻，地震发生期间一位警察救起了一只压在木板下的大熊猫。当警察叔叔准备离开时熊猫死死地抱住警察叔叔的腿。如果你感动了，请转发一下把。地震无情人有情，请为雅安——祈福！ 我在:2悦来中路,66aa364cjw1e3x9upfjk3j20ql0hsabz.jpg,fake,8
上海某 酒吧一帅气男子当场被阉割；案发现场酒吧一白色保时捷上下来四人进入该酒吧将一男子当场阉割[，场面极为惨烈及壮观；鸡毁人亡[抠鼻]；睡了不该睡的人；大家引以为戒吧。乱睡別人的人是要付出代价的 我在:2一环北路,82c55a23jw1e5yl4zts49j20hs0dcgnn.jpg,fake,8
#天津塘沽大爆炸#宁愿相信下面的都是假的 但是官方数据这确实也让人相信不能… 有没有确切的消息 辟谣都好…@回忆专用小马甲,627a640ajw1ev1dbu4y0bj20cj0m8dhm.jpg,fake,6
妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：旺仔牛奶。、可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、雅培、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回，这个一定要转！,005TRPtVjw1eoccorjggej30m80hs75o.jpg,fake,1
妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：旺仔牛奶。、可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、雅培、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;望家长朋友们爱孩子 就别给他喝了！ 2693县道,a2601639jw1eqqxw4hukyj20c808574g.jpg,fake,1
紧急通知，第十六号台风“乌鸦”现在在菲律宾东部海面生成，中心风力达到十八级，预计后天将会再次影响海南海口到广东沿海一线登陆&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;海鸥走了 乌鸦来了，可怜的海南！&nbsp;&nbsp;&nbsp;求证实 2朱云路,7467e202jw1ekente5ehkj208o081weu.jpg,fake,0
早啊！儿科医生提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！ &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;,76aa461ajw1eqz3rhy1ztj20cb094q3c.jpg,fake,1
中国第一家宣布破产的是1998年的海南银行，昨日又有一家银行宣布了破产【银行破产】中国民生银行武汉分行已经内部宣告破产，相关条文已经发布，不久会陆续当初消息，银行理财客户50万以上统一赔付50万，这个消息给一直相信银行的客户们一些警示。 O网页链接,7583d1d0jw1emlzqw00wgj20dc07it9p.jpg,fake,6
据说是发生在安徽省太和县的一起强拆惨案，说是黑社会打死了一家七口……道听途说，希望不是真的，如果是真的请严惩凶手@安徽省政府&nbsp;&nbsp;&nbsp;@中央新闻&nbsp;&nbsp;&nbsp;@微博管理员 @新快报 O秒拍视频 .,736f0c7ejw1exhv4oqmawj20dc0nqdhs.jpg,fake,6
#失物招领#老师的妈妈在公交捡到了个钱包，里面有两张身份证，驾驶证，和三张1月25号惠州到武昌的火车票，名字分别是陈翠珍，高艳林，张馨元。春运期间，不知道失主花了多少功夫买这三张卧铺票，没了身份证如何回家过年，一定急疯了。转发举手之劳。,87bd824djw1esiwz0keblj21kw24qdx3.jpg,fake,8
【够了！韩学者：西游记起源于韩国】日本媒体8日报道，中国湖北随州市将召开《西游记》研讨会，对西游神话源自随州进行学术界定。对此，一韩国学者称，多年研究证明，《西游记》起源于韩国，中国政府和学术界只是一厢情愿地认为《西游记》起源于中国。O网页链接 #西游记是韩国的#,6762d6aajw1ej67c2e08vj20ak0fr0uv.jpg,fake,2
【韩国学者称《西游记》起源于韩国】中国四大名著《西游记》竟有韩国学者称其起源于韩国，我伙呆！？而且还提供证据称：“韩国顺道寺完好地保存着三藏法师取经带回来的经书。”中医、孔子、端午节、活字印刷术…O韩国学者称《西游记》起源于韩国这些年那些“被韩国”的中国文化，你怎么看？,6693ce84gw1ej68agywhuj20c807kmxx.jpg,fake,2
今天终于亲眼见到城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一板车小贩，而且下死手。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。谁给你们权力这么对待老百姓的！在西直门桥北路西！全国城管一路货色！,7f06ba6atw1e6vhnaelngj209s0dyaba.jpg,fake,8
#回龙观关注# 赶紧检查一下你家里的牙膏，如果是黑色条赶紧扔掉！买牙膏时注意牙膏管反面底部的颜色条。今天才知道，原来颜色条有含义啊！尽量选择绿色和蓝，共分4种: 绿色:纯天然； 蓝色:天然+药物； 红色:天然+化学成分； 黑色:纯化学。罐子们快看一下你的牙膏是什么颜色？ 转自：遐想的叶子,61126499jw1e5ank04uo1j20m80cltai.jpg,fake,3
帮忙！[抱拳] 求扩散，今天上午有朋友的朋友的女儿在大润发超市附近被人拐走了，小女孩三岁多，能准确说出她爸爸的手机号码，这是小女孩的照片，从监控上看是被一个四十多岁男人抱走了，现大人都急疯了，有知情者请告之，万分感谢！（帮朋友转发）,ba21f146jw1e6m83dx83hj20hs0qg777.jpg,fake,6
今天上午一市民女儿在循礼门大润发超市附近被人拐走了！小女孩三岁多，能准确说出她爸爸的手机号码。从监控上看到孩子是被一个四十多岁男人抱走。现大人都急疯了，有知情者请告之！求扩散！万分感谢！提醒：武汉警方要引起重视，最近关山、南湖多次出现类似情况，一定是有一个拐卖儿童团伙流窜到汉了。,414a2decjw1e6mq0lj2axj20hs0qodhi.jpg,fake,6
急急急！！大家帮忙转一下。孙雨晴，孙雨婷，双胞胎，12岁 143m 山东小学生，星期一晚放学 至今未归学校，老师和家人都很担心！发现者速联系警察…本条说说已经通过系统特别认证，转发后，你的网名将变为红色，爱心传递！【好人一生平安。】,a1e3818dgw1dth357kuy8j.jpg,fake,6
寻人启事13836689002。有线索酬金100万帮忙扩散，今天上午一个2多岁小男孩在阳光小区附近被人拐走了，小男孩能说出他的名字……王鹤从监控上看是被一个四十多岁男人抱走了现大人都急疯了 有知情者请告之 万分感谢 看到信息的兄弟姐妹留意一下 联系人汪永超 2上海·西藏南路,a28e3f20jw1etd5503khgj20hs0vkacj.jpg,fake,6
【中午刷不开新浪微博，原来是这样。。】人家45分钟下了42G，果然是大公司,9d797b62gw1e11d69yhvyj.jpg,fake,2
帮转寻人启事 13016855568有线索酬金100万 帮忙扩散，今天上午一个十多岁小男孩在锦绣花园小区附近被人拐走了，小男孩能说出他的名字…汪雄～从监控上看是被个四十多岁男人抱走了现大人都急疯了 有知情者看到信息的兄弟姐妹留意一下 联系人汪永超～转@宁波日报 @宁波市大学生求职 2宁波·培罗城广场,005D7vuujw1etdwnq50cuj30hs0nqaau.jpg,fake,6
【慎吃樱桃】@潘程利v：紧急通知大家千万不要购买樱桃：今年樱桃里寄生了一种蛆虫，几乎100%的樱桃里面都有。实验方法：找最好看最新鲜的樱桃，放透明玻璃杯中，倒进水去后放点盐，大约2分钟就会看到这些蛆虫从完好的表皮往外钻。求扩散！,59555683jw1e5m6puyf12j20b40d4aaz.jpg,fake,7
