text,image,label,event,target,prediction,prob,score,text_score,image_score
\@weirdhistorypix  just mahatma gandhi dancing     \@ciara_bug does this help your hangove,gandhi_dancing_1.jpg,fake,25,1,1,0.8509292,"[0.14907083, 0.8509292]","[0.6310977, 0.36890233]","[0.15163253, 0.84836745]"
\@saronkovacevic nog geiniger    \@weirdhistorypix  just mahatma gandhi dancin,gandhi_dancing_1.jpg,fake,25,1,1,0.85541016,"[0.14458983, 0.85541016]","[0.6178469, 0.3821531]","[0.14329898, 0.856701]"
mahatma gandhi dancing     \@history_pics  \@historyinpics  \@historicalpic,gandhi_dancing_1.jpg,fake,25,1,1,0.8285037,"[0.17149627, 0.8285037]","[0.5832438, 0.41675618]","[0.14460191, 0.85539806]"
\@weirdhistorypix  just mahatma gandhi dancing    western civilization indeed     #ghandisarcas,gandhi_dancing_1.jpg,fake,25,1,1,0.84355694,"[0.15644307, 0.84355694]","[0.61807245, 0.38192758]","[0.15027146, 0.8497286]"
\@thislsamazing  mahatma gandhi dancing   aisey chick magne,gandhi_dancing_1.jpg,fake,25,1,1,0.8312195,"[0.16878049, 0.8312195]","[0.59076816, 0.40923178]","[0.15082815, 0.8491719]"
\ @Thistlesmazing Mahatma Gandhi Sayawan Fuckin ,gandhi_dancing_1.jpg,fake,25,1,1,0.84878254,"[0.15121746, 0.84878254]","[0.584356, 0.41564396]","[0.14740598, 0.852594]"
on some  this is how those african savages dance  rt  \@thislsamazing  mahatma gandhi dancin,gandhi_dancing_1.jpg,fake,25,1,1,0.8562232,"[0.14377676, 0.8562232]","[0.57690567, 0.42309433]","[0.14188223, 0.85811776]"
it is  photo of mahatma gandhi   that time he dancing with english gir,gandhi_dancing_1.jpg,fake,25,1,1,0.871728,"[0.12827204, 0.871728]","[0.50921017, 0.4907898]","[0.1456828, 0.8543172]"
sm  mahatma gandhi dancing  he created the stanky le,gandhi_dancing_1.jpg,fake,25,1,1,0.89496326,"[0.105036765, 0.89496326]","[0.5063263, 0.4936737]","[0.14557165, 0.8544283]"
\@804streetmedia  #sm   mahatma gandhi dancing  he created the stanky le,gandhi_dancing_1.jpg,fake,25,1,1,0.8701842,"[0.12981574, 0.8701842]","[0.6358456, 0.36415443]","[0.1514778, 0.84852225]"
luvly rare photos of mahatma gandhi with charlie chaplin  lord mountbatten  amp  him dancing  what a move,gandhi_dancing_1.jpg,fake,25,1,1,0.84470636,"[0.15529363, 0.84470636]","[0.585908, 0.41409203]","[0.14785865, 0.8521413]"
want to see a picture of mahatma gandhi dancing  of course you woul,gandhi_dancing_1.jpg,fake,25,1,1,0.90753025,"[0.09246974, 0.90753025]","[0.62480664, 0.3751934]","[0.14557165, 0.8544283]"
who said he was not a dancer     mahatma  gandhi dancing  #gandhi  #dance  #justforfu,gandhi_dancing_1.jpg,fake,25,1,1,0.8841683,"[0.11583171, 0.8841683]","[0.5679437, 0.43205634]","[0.14244463, 0.8575553]"
while studying law in london  mahatma gandhi born otd 1869 adopted some english customs  amp  took dancing lesson,gandhi_dancing_1.jpg,fake,25,1,1,0.860262,"[0.13973805, 0.860262]","[0.62000096, 0.379999]","[0.14850101, 0.851499]"
husband gave his unfaithful ex wife half of everything he owned   literally   see full im,half_everything_2.jpg,fake,26,1,1,0.8832065,"[0.116793476, 0.8832065]","[0.40301433, 0.59698564]","[0.49203417, 0.5079658]"
husband gave his unfaithful ex wife half of everything he owned   literally   see full im,half_everything_2.jpg,fake,26,1,1,0.8832065,"[0.116793476, 0.8832065]","[0.40301433, 0.59698564]","[0.49203417, 0.5079658]"
husband gave his unfaithful ex wife half of everything he owned   literally   see full im,half_everything_2.jpg,fake,26,1,1,0.8832065,"[0.116793476, 0.8832065]","[0.40301433, 0.59698564]","[0.49203417, 0.5079658]"
husband gave his unfaithful ex wife half of everything he owne,half_everything_3.jpg,fake,26,1,1,0.9316267,"[0.06837336, 0.9316267]","[0.45970818, 0.5402918]","[0.3369412, 0.6630588]"
husband gave his unfaithful ex wife half of everything he owne,half_everything_3.jpg,fake,26,1,1,0.9316267,"[0.06837336, 0.9316267]","[0.45970818, 0.5402918]","[0.3369412, 0.6630588]"
husband gave his unfaithful ex wife half of everything he owne,half_everything_3.jpg,fake,26,1,1,0.9316267,"[0.06837336, 0.9316267]","[0.45970818, 0.5402918]","[0.3369412, 0.6630588]"
cheated husband literally gives half of everything to e,half_everything_4.jpg,fake,26,1,1,0.9240291,"[0.07597091, 0.9240291]","[0.4621227, 0.5378773]","[0.28901762, 0.7109824]"
rt sexyyalex  cheated husband literally gives half of everything to e,half_everything_4.jpg,fake,26,1,1,0.78843075,"[0.21156923, 0.78843075]","[0.54534644, 0.45465356]","[0.32433793, 0.67566204]"
rt sexyyalex  cheated husband literally gives half of everything to e,half_everything_4.jpg,fake,26,1,1,0.78843075,"[0.21156923, 0.78843075]","[0.54534644, 0.45465356]","[0.32433793, 0.67566204]"
cheated husband literally gave his wife half of everythin,half_everything_6.jpg,fake,26,1,1,0.59617347,"[0.40382656, 0.59617347]","[0.3479036, 0.65209633]","[0.43659925, 0.56340075]"
cheated husband literally gave his wife half of everythin,half_everything_6.jpg,fake,26,1,1,0.59617347,"[0.40382656, 0.59617347]","[0.3479036, 0.65209633]","[0.43659925, 0.56340075]"
cheated husband literally gives half of everything to e,half_everything_6.jpg,fake,26,1,1,0.54810184,"[0.45189816, 0.54810184]","[0.3772519, 0.6227481]","[0.43659925, 0.56340075]"
\@halo we dont want 2 hear you cant  #bringhalo5splitscreenback maybe you should hire this gu,half_everything_7.jpg,fake,26,1,1,0.7792787,"[0.22072129, 0.7792787]","[0.4752891, 0.5247109]","[0.5468598, 0.4531402]"
this guy got divorced and gave his ex wife half of everything  literall,half_everything_7.jpg,fake,26,1,1,0.867279,"[0.13272095, 0.867279]","[0.40546563, 0.5945344]","[0.52414733, 0.47585264]"
#20150620 cheezburger  a german man literally gave half of everything he owns to his ex wi,half_everything_8.png,fake,26,1,1,0.7937236,"[0.20627642, 0.7937236]","[0.5033387, 0.4966613]","[0.62835044, 0.3716496]"
cheated husband literally gives half of everything to e,half_everything_9.jpg,fake,26,1,1,0.7796962,"[0.22030379, 0.7796962]","[0.6043412, 0.39565873]","[0.17995632, 0.8200437]"
mcdonalds is going to be charging black folkz a fee per purchas,mc_donalds_fee_1.jpg,fake,20,1,1,0.5579402,"[0.44205981, 0.5579402]","[0.41346592, 0.5865341]","[0.7060043, 0.29399565]"
north korea preparing for hovercraft bound for the border   led bulbs  auto led bulb,north_korea_1.jpg,fake,14,1,1,0.55149466,"[0.44850534, 0.55149466]","[0.35525766, 0.6447423]","[0.3991254, 0.6008746]"
north korea deploys about 20 hovercraft near sea borde,north_korea_1.jpg,fake,14,1,1,0.62955165,"[0.37044838, 0.62955165]","[0.23985927, 0.7601407]","[0.3991254, 0.6008746]"
north korea deploys  undetectable  submarines and hovercraft invasion force,north_korea_1.jpg,fake,14,1,1,0.595647,"[0.40435308, 0.595647]","[0.27592385, 0.7240762]","[0.3991254, 0.6008746]"
north korea deploys  undetectable  submarines and hovercraft invasion force,north_korea_1.jpg,fake,14,1,1,0.595647,"[0.40435308, 0.595647]","[0.27592385, 0.7240762]","[0.3991254, 0.6008746]"
north korea is   #nuclear missile threat  very bad news    #northkorea  #emp  #defensetech  \@hobeyoc,north_korea_2.jpg,fake,14,1,1,0.98217314,"[0.017826876, 0.98217314]","[0.39886993, 0.60113007]","[0.102223895, 0.8977761]"
north korea is  nuclear missile threat  very bad new,north_korea_2.jpg,fake,14,1,1,0.9817155,"[0.018284502, 0.9817155]","[0.34337986, 0.65662014]","[0.10178922, 0.8982108]"
north korea is  nuclear missile threat  very bad news    \@hobeyoco  \@gatestoneins,north_korea_2.jpg,fake,14,1,1,0.9815174,"[0.01848266, 0.9815174]","[0.36153623, 0.63846374]","[0.10077921, 0.8992208]"
north korea is  nuclear missile threat  very bad news    \@hobeyoco  \@gatestoneins,north_korea_2.jpg,fake,14,1,1,0.9815174,"[0.01848266, 0.9815174]","[0.36153623, 0.63846374]","[0.10077921, 0.8992208]"
north korea is  nuclear missile threat  very bad news    \@hobeyoco  \@gatestoneins,north_korea_2.jpg,fake,14,1,1,0.9815174,"[0.01848266, 0.9815174]","[0.36153623, 0.63846374]","[0.10077921, 0.8992208]"
#northkorea is  nuclear missile threat  very bad new,north_korea_2.jpg,fake,14,1,1,0.98278123,"[0.017218698, 0.98278123]","[0.4237636, 0.5762364]","[0.102120735, 0.8978793]"
tour eiffel in the colors of  #pakistan    \@sarfrazafc,pakistan_explosion_1.jpg,fake,21,1,1,0.91213,"[0.08786996, 0.91213]","[0.555163, 0.444837]","[0.35764536, 0.6423546]"
is that the eiffel tower lit up in  #pakistan colours    #lahoreblast  #lahoreattack  #eastersunday  #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9060346,"[0.09396543, 0.9060346]","[0.5411564, 0.45884362]","[0.35326827, 0.64673173]"
eiffel tower in pakistan is  colors  #lahoreattack   #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.91830945,"[0.08169052, 0.91830945]","[0.40171674, 0.5982833]","[0.35565236, 0.64434767]"
the eiffel tower lights up in support of pakistan   #prayforpakistan  #prayforlahor,pakistan_explosion_1.jpg,fake,21,1,1,0.9127865,"[0.08721352, 0.9127865]","[0.4715925, 0.5284075]","[0.35343227, 0.6465677]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblast  \@pzf  #jesuislahor,pakistan_explosion_1.jpg,fake,21,1,1,0.9175814,"[0.08241856, 0.9175814]","[0.4123608, 0.5876392]","[0.35237762, 0.6476224]"
eiffel tower lights up in green  showing solidarity with  #pakistan after the deadly blast in lahore on  #easter da,pakistan_explosion_1.jpg,fake,21,1,1,0.92074245,"[0.079257585, 0.92074245]","[0.49546033, 0.50453967]","[0.3566926, 0.6433074]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.91538155,"[0.084618375, 0.91538155]","[0.41041887, 0.58958113]","[0.3547438, 0.6452562]"
rt planetepics  eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #pr,pakistan_explosion_1.jpg,fake,21,1,1,0.90048474,"[0.099515244, 0.90048474]","[0.4505003, 0.5494997]","[0.35427254, 0.64572746]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #peaceforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.91297114,"[0.08702889, 0.91297114]","[0.40234956, 0.5976504]","[0.35790032, 0.6420996]"
france is  iconic eiffel tower paris lights up in green showing complete solidarity with pakistan after  #lahoreblas,pakistan_explosion_1.jpg,fake,21,1,1,0.9179928,"[0.08200721, 0.9179928]","[0.44664368, 0.5533563]","[0.35686186, 0.6431382]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblas,pakistan_explosion_1.jpg,fake,21,1,1,0.9260552,"[0.07394486, 0.9260552]","[0.3903343, 0.6096657]","[0.35355434, 0.64644563]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #prayforpakistan  #prayforlahore  #lahoreattac,pakistan_explosion_1.jpg,fake,21,1,1,0.8967254,"[0.10327454, 0.8967254]","[0.45848137, 0.5415186]","[0.3520785, 0.64792144]"
rtfarhankvirk  rt pakistanimn  eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #prayforpaki,pakistan_explosion_1.jpg,fake,21,1,1,0.8779912,"[0.12200876, 0.8779912]","[0.49964052, 0.5003594]","[0.35475993, 0.64524]"
rt pakistanimn  eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #prayforpakistan    #r,pakistan_explosion_1.jpg,fake,21,1,1,0.8785412,"[0.12145887, 0.8785412]","[0.48719552, 0.5128045]","[0.35047746, 0.64952254]"
eiffel tower lights up once again  this time for pakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9207378,"[0.07926219, 0.9207378]","[0.39915335, 0.6008467]","[0.35383123, 0.64616877]"
eiffel tower lights up in solidarity with pakistan    #prayforlahore  #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.91080093,"[0.089199014, 0.91080093]","[0.46390617, 0.53609383]","[0.3547438, 0.6452562]"
eiffel tower lit up in solidarity with pakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9316469,"[0.068353124, 0.9316469]","[0.41413197, 0.585868]","[0.35383123, 0.64616877]"
the eiffel tower lit up for  lahore  pakistan in a show of solidarit,pakistan_explosion_1.jpg,fake,21,1,1,0.92665946,"[0.07334056, 0.92665946]","[0.49630284, 0.5036971]","[0.35444522, 0.64555484]"
#eiffel  #tower lights up in solidarity with pakistan after  #lahoreblast  respec,pakistan_explosion_1.jpg,fake,21,1,1,0.90519613,"[0.094803885, 0.90519613]","[0.500532, 0.499468]","[0.35761186, 0.6423881]"
eiffel tower lights up in solidarity wth pakistan after  #lahoreblast  #prayforpakistan  \@omarimrantweets  \@farhankvir,pakistan_explosion_1.jpg,fake,21,1,1,0.8827977,"[0.11720231, 0.8827977]","[0.5420302, 0.45796975]","[0.35435423, 0.64564574]"
great gesture   eiffel tower lights up in solidarity with pakistan after   #lahoreblast   #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.91127837,"[0.08872167, 0.91127837]","[0.43663326, 0.5633667]","[0.3547438, 0.6452562]"
thank you europe  #appreciated eiffel tower lights up in solidarity with pakistan  #prayforpakistan  #lahoreblas,pakistan_explosion_1.jpg,fake,21,1,1,0.88622844,"[0.11377149, 0.88622844]","[0.5173008, 0.48269922]","[0.35368145, 0.6463185]"
همبستگی فرانسه پس از انفجار لاهور  eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #pari,pakistan_explosion_1.jpg,fake,21,1,1,0.9366192,"[0.06338081, 0.9366192]","[0.5634106, 0.4365894]","[0.35388404, 0.646116]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #prayforpakistan ,pakistan_explosion_1.jpg,fake,21,1,1,0.91538155,"[0.084618375, 0.91538155]","[0.41041887, 0.58958113]","[0.3547438, 0.6452562]"
eiffel tower light up in solidarity with pakistan   #prayforpakistan  #lahoreblas,pakistan_explosion_1.jpg,fake,21,1,1,0.89484584,"[0.10515412, 0.89484584]","[0.5112361, 0.4887639]","[0.35343227, 0.6465677]"
eiffel tower paris   france lights up in green  showing complete solidarity with pakistan blast in lahor,pakistan_explosion_1.jpg,fake,21,1,1,0.9166154,"[0.08338456, 0.9166154]","[0.38403463, 0.61596537]","[0.35633135, 0.64366865]"
#prayforlahore  eiffel tower lights up in solidarity with pakistan after  #lahoreblas,pakistan_explosion_1.jpg,fake,21,1,1,0.91049916,"[0.089500815, 0.91049916]","[0.46984676, 0.5301532]","[0.3524968, 0.6475032]"
eiffel tower lights up in solidarity with pakistan after  #prayforlahore   #prayforpakistan  #prayfortheworl,pakistan_explosion_1.jpg,fake,21,1,1,0.90828824,"[0.091711745, 0.90828824]","[0.4841208, 0.5158792]","[0.3547438, 0.6452562]"
eiffel tower representing the pakistan flag to honour  #lahoreblast victims   #prayforpakistan  #jesuislahor,pakistan_explosion_1.jpg,fake,21,1,1,0.90245414,"[0.09754592, 0.90245414]","[0.51141655, 0.48858342]","[0.35273635, 0.64726365]"
eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #lahoreattack  #prayforpakistan  #prayforlahor,pakistan_explosion_1.jpg,fake,21,1,1,0.90445215,"[0.09554786, 0.90445215]","[0.4444564, 0.5555436]","[0.35220447, 0.6477955]"
eiffel tower lights up in pakistan colours showing solidarity with all humans effected by terror    #prayforlahor,pakistan_explosion_1.jpg,fake,21,1,1,0.9187077,"[0.08129228, 0.9187077]","[0.4996722, 0.5003278]","[0.35355434, 0.64644563]"
the eiffel tower lit up for  #pakistan in a show of solidarity  beautiful   #prayforpakistan  #lahorestron,pakistan_explosion_1.jpg,fake,21,1,1,0.8896391,"[0.11036095, 0.8896391]","[0.57563084, 0.42436922]","[0.35607257, 0.64392745]"
#paris eiffel tower lights up in solidarity with pakistan after  #lahoreblast  #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.8757846,"[0.124215476, 0.8757846]","[0.48997208, 0.51002795]","[0.3571225, 0.64287746]"
the eiffel tower lit up for  #pakistan in a show of solidarity  beautiful   #prayforpakistan  #prayforlahor,pakistan_explosion_1.jpg,fake,21,1,1,0.9040163,"[0.09598369, 0.9040163]","[0.55395776, 0.44604227]","[0.35607257, 0.64392745]"
the eiffel tower lit in pakistan flag colours after the  #lahoreattack  #respect  #iamlahor,pakistan_explosion_1.jpg,fake,21,1,1,0.9223111,"[0.0776889, 0.9223111]","[0.47801661, 0.5219834]","[0.35323435, 0.6467657]"
eiffel tower lit up in pakistan colours after yesterday is  barbaric attacks in lahor,pakistan_explosion_1.jpg,fake,21,1,1,0.93175125,"[0.06824871, 0.93175125]","[0.4607492, 0.5392508]","[0.35355434, 0.64644563]"
thank you eiffel tower for your thoughtful tribute to the victims of the bomb attack on innocents in lahore pakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9253351,"[0.07466482, 0.9253351]","[0.49140584, 0.5085941]","[0.35444522, 0.64555484]"
eiffel tower in pakistan colours  \@rehamkhan1  \@asmashirazi  \@talathussain12  \@arsched  \@lodhimaleeha  \@sanabuch,pakistan_explosion_1.jpg,fake,21,1,1,0.9238478,"[0.07615227, 0.9238478]","[0.5536228, 0.4463772]","[0.35302714, 0.6469729]"
#prayforpakistan  #prayforlahore  the eiffel tower lighted up in solidarity with pakistan after  #lahoreblast   ,pakistan_explosion_1.jpg,fake,21,1,1,0.8965277,"[0.10347225, 0.8965277]","[0.5558205, 0.44417948]","[0.354582, 0.64541805]"
eiffel tower lights up in solidarity wid pakistan after  #lahoreblast  #prayforpakistan  \@khankitigres,pakistan_explosion_1.jpg,fake,21,1,1,0.9037854,"[0.096214645, 0.9037854]","[0.5183379, 0.48166206]","[0.35238877, 0.6476112]"
eiffel tower lit in pakistan flag  after lahore terrorist attack ,pakistan_explosion_1.jpg,fake,21,1,1,0.94701195,"[0.05298802, 0.94701195]","[0.44397908, 0.556021]","[0.35355434, 0.64644563]"
the eiffel tower lights up in solidarity for pakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9219674,"[0.07803255, 0.9219674]","[0.44231862, 0.5576814]","[0.35383123, 0.64616877]"
eiffel tower lights up in solidarity with pakistan   #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9179929,"[0.08200716, 0.9179929]","[0.44117585, 0.5588242]","[0.35376146, 0.64623857]"
eiffel tower lights up in solidarity with the victims of  #lahoresuicideblast   pakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9320075,"[0.06799253, 0.9320075]","[0.46479082, 0.53520924]","[0.35444522, 0.64555484]"
パリ エッフェル塔  rt  \@muhammadsaad375  eiffel tower lights up in solidarity with pakistan   #prayforpakista,pakistan_explosion_1.jpg,fake,21,1,1,0.9123554,"[0.0876446, 0.9123554]","[0.52076715, 0.47923282]","[0.35310894, 0.64689106]"
france is  iconic eiffel tower lights up in green showing complete solidarity wid pakistan after deadly blast in laho,pakistan_explosion_1.jpg,fake,21,1,1,0.91062814,"[0.08937187, 0.91062814]","[0.39538884, 0.60461116]","[0.35697863, 0.64302135]"
eiffel tower lights up in solidarity with pakistan after lahore blasts   #prayforlahor,pakistan_explosion_1.jpg,fake,21,1,1,0.923181,"[0.076819025, 0.923181]","[0.43436846, 0.5656315]","[0.35404545, 0.64595455]"
rt  \@londonorganiser  ever get the feeling you are  being had europ,refugees_17.jpg,fake,29,1,1,0.58477473,"[0.4152252, 0.58477473]","[0.58334655, 0.41665345]","[0.3471182, 0.6528818]"
rt  \@surfermom77  so far this yr  500k migrants have arrived in europe majority 75  muslim men 20 40 are they all desperate refugees ️ http,refugees_17.jpg,fake,29,1,1,0.5485514,"[0.45144862, 0.5485514]","[0.5704644, 0.42953566]","[0.3502256, 0.6497744]"
rt  \@surfermom77  so far this yr  500k migrants have arrived in europe majority 75  muslim men 20 40 are they all desperate refugees ️ http,refugees_17.jpg,fake,29,1,1,0.5485514,"[0.45144862, 0.5485514]","[0.5704644, 0.42953566]","[0.3502256, 0.6497744]"
ביזה באוקראינה the  unknown soldier  steal geese from crimean tatars  #ukraine  #crime,soldier_stealing_1.jpg,fake,31,1,1,0.70473766,"[0.2952623, 0.70473766]","[0.505953, 0.49404702]","[0.23839234, 0.76160765]"
in michigan  woman enters guinness book of record after 14 children from 14 differen,woman_14_children_1.jpg,fake,27,1,1,0.55229264,"[0.44770736, 0.55229264]","[0.36888915, 0.63111085]","[0.26671028, 0.7332897]"
\@errbodyluvscris  14 children  14 different fathers  all of them are suckers     absolutely no,woman_14_children_1.jpg,fake,27,1,1,0.55912656,"[0.44087347, 0.55912656]","[0.49862045, 0.5013796]","[0.26548085, 0.7345191]"
has to be some kind of record  rt  \@errbodyluvscris 14 children  14 different fathers  all of them are sucker,woman_14_children_1.jpg,fake,27,1,1,0.53844917,"[0.46155086, 0.53844917]","[0.44801328, 0.55198675]","[0.26548085, 0.7345191]"
rt  \@errbodyluvscris  14 children  14 different fathers  all of them are sucker,woman_14_children_1.jpg,fake,27,1,1,0.5652694,"[0.43473062, 0.5652694]","[0.44831577, 0.5516842]","[0.26450533, 0.7354947]"
i am not even shocked it   \@errbodyluvscris  14 children  14 different fathers  all of them are sucker,woman_14_children_1.jpg,fake,27,1,1,0.5496127,"[0.45038727, 0.5496127]","[0.4889159, 0.51108414]","[0.26548085, 0.7345191]"
rt  \@errbodyluvscris  14 children  14 different fathers  all of them are sucker,woman_14_children_1.jpg,fake,27,1,1,0.5652694,"[0.43473062, 0.5652694]","[0.44831577, 0.5516842]","[0.26450533, 0.7354947]"
14 children  14 different fathers  all of them are sucker,woman_14_children_1.jpg,fake,27,1,1,0.67604333,"[0.32395664, 0.67604333]","[0.41410124, 0.58589876]","[0.24624825, 0.75375175]"
meet the woman who has given birth to 14 children from 14 different father,woman_14_children_1.jpg,fake,27,1,1,0.73558664,"[0.26441342, 0.73558664]","[0.40731257, 0.5926875]","[0.24624825, 0.75375175]"
